age_group,diet_name,species_name,model_species_id,objective_reaction_id,median_abundance,normalized_weight,n_subjects,species_biomass_flux,is_growing
81_90,high_fiber,Alistipes onderdonkii,Alistipes_onderdonkii_DSM_19147,Alistipes_onderdonkii_DSM_19147__biomass419,0.494620476895701,0.0935167846458735,169,0.0,False
81_90,high_fiber,Alistipes shahii,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301__biomass399,0.227743557500775,0.04305896382404744,169,0.0,False
81_90,high_fiber,Bacteroides dorei,Bacteroides_dorei_DSM_17855,Bacteroides_dorei_DSM_17855__biomass536,0.676254329876683,0.12785789001261408,169,0.0,False
81_90,high_fiber,Bacteroides xylanisolvens,Bacteroides_xylanisolvens_XB1A,Bacteroides_xylanisolvens_XB1A__biomass525,0.178305668362581,0.03371185296260619,169,0.0,False
81_90,high_fiber,Bilophila wadsworthia,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6__biomass525,0.0,0.0,169,0.0,False
81_90,high_fiber,Escherichia coli,Escherichia_coli_UTI89_UPEC,Escherichia_coli_UTI89_UPEC__biomass525,1.29880647859491,0.24556242903190081,169,1.741746021629196,True
81_90,high_fiber,Faecalibacterium prausnitzii,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium_prausnitzii_M21_2__biomass224,1.24423225168371,0.23524420230319645,169,0.49133132524398043,True
81_90,high_fiber,Klebsiella pneumoniae,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578__biomass525,0.17231064142578,0.03257838666029367,169,0.0,False
81_90,high_fiber,Parabacteroides merdae,Parabacteroides_merdae_ATCC_43184,Parabacteroides_merdae_ATCC_43184__biomass536,0.68968469388354,0.13039713882501167,169,0.0,False
81_90,high_fiber,Ruminococcus torques,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756__biomass525,0.307151004155264,0.058072351734456205,169,0.0,False
