pc,explained_variance_fraction,cumulative_explained_variance
PC215,1.3502613846330157e-4,0.9930680910690473
PC216,1.316698399854466e-4,0.9931997609090327
PC217,1.3050353134359818e-4,0.9933302644403763
PC218,1.2815045092789122e-4,0.9934584148913042
PC219,1.2447556169607345e-4,0.9935828904530002
PC220,1.2163436287328448e-4,0.9937045248158735
PC221,1.1854631681782763e-4,0.9938230711326913
PC222,1.1732520522645525e-4,0.9939403963379178
PC223,1.153704542691836e-4,0.994055766792187
PC224,1.1352682347841421e-4,0.9941692936156654
PC225,1.1132444624875989e-4,0.9942806180619141
PC226,1.0928465221884621e-4,0.994389902714133
PC227,1.0754464496612781e-4,0.9944974473590991
PC228,1.0440529650986836e-4,0.994601852655609
PC229,1.0334531434412597e-4,0.994705197969953
PC230,1.013441168518341e-4,0.9948065420868049
PC231,9.972412735607817e-5,0.9949062662141609
PC232,9.807695124831803e-5,0.9950043431654092
PC233,9.567675563791767e-5,0.9951000199210471
PC234,9.490955794552871e-5,0.9951949294789927
PC235,9.177601060651524e-5,0.9952867054895992
PC236,9.026219523424665e-5,0.9953769676848334
PC237,8.927264570807644e-5,0.9954662403305415
PC238,8.814642491202114e-5,0.9955543867554536
PC239,8.45417934072921e-5,0.9956389285488609
PC240,8.337803430353682e-5,0.9957223065831645
PC241,8.270773641892006e-5,0.9958050143195835
PC242,8.158611302013721e-5,0.9958866004326036
PC243,8.071449800396478e-5,0.9959673149306075
PC244,7.731902965776708e-5,0.9960446339602653
PC245,7.702966105291932e-5,0.9961216636213183
PC246,7.610622181485456e-5,0.9961977698431331
PC247,7.587930041494496e-5,0.9962736491435481
PC248,7.411544561718098e-5,0.9963477645891653
PC249,7.32624036240693e-5,0.9964210269927893
PC250,7.071132242765201e-5,0.996491738315217
PC251,6.954419382846299e-5,0.9965612825090454
PC252,6.78646884621217e-5,0.9966291471975075
PC253,6.735553243034717e-5,0.9966965027299378
PC254,6.582491177564859e-5,0.9967623276417135
PC255,6.386373766115809e-5,0.9968261913793747
PC256,6.368611579974654e-5,0.9968898774951744
PC257,6.182896529495583e-5,0.9969517064604694
PC258,6.161824501345028e-5,0.9970133247054829
PC259,6.087120627832075e-5,0.9970741959117612
PC260,5.897289562201615e-5,0.9971331688073832
PC261,5.747240359761489e-5,0.9971906412109809
PC262,5.687672324855435e-5,0.9972475179342294
PC263,5.643240040885977e-5,0.9973039503346383
PC264,5.52564101690608e-5,0.9973592067448073
PC265,5.419685769290601e-5,0.9974134036025002
PC266,5.3944804712777104e-5,0.997467348407213
PC267,5.257436097432203e-5,0.9975199227681872
PC268,5.208933750402136e-5,0.9975720121056912
PC269,5.110618710323546e-5,0.9976231182927945
PC270,5.0625708733475876e-5,0.997673744001528
PC271,4.9296458554652586e-5,0.9977230404600826
PC272,4.866804982873498e-5,0.9977717085099114
PC273,4.7448035697547285e-5,0.9978191565456089
PC274,4.618659091475358e-5,0.9978653431365236
PC275,4.508279994465561e-5,0.9979104259364683
PC276,4.2882869702137497e-5,0.9979533088061704
PC277,4.235396845538684e-5,0.9979956627746258
PC278,4.200572794930379e-5,0.9980376685025751
PC279,4.090260896239034e-5,0.9980785711115375
PC280,4.0731054125866786e-5,0.9981193021656634
PC281,3.9885763310897056e-5,0.9981591879289743
PC282,3.925178998241841e-5,0.9981984397189567
PC283,3.770299874411738e-5,0.9982361427177009
PC284,3.733283650790575e-5,0.9982734755542088
PC285,3.6601461165862345e-5,0.9983100770153747
PC286,3.580957930110571e-5,0.9983458865946758
PC287,3.505496918807645e-5,0.9983809415638639
PC288,3.418307463228565e-5,0.9984151246384962
PC289,3.3785223811391514e-5,0.9984489098623076
PC290,3.3033202829668026e-5,0.9984819430651373
PC291,3.2606091815237256e-5,0.9985145491569525
PC292,3.203828782046564e-5,0.998546587444773
PC293,3.1777053749861743e-5,0.9985783644985229
PC294,3.0695786276635174e-5,0.9986090602847996
PC295,3.0485814723407408e-5,0.998639546099523
PC296,2.9829731068068315e-5,0.998669375830591
PC297,2.9665712010407727e-5,0.9986990415426015
PC298,2.8799662126036206e-5,0.9987278412047275
PC299,2.7962812501840427e-5,0.9987558040172293
PC300,2.751236672226609e-5,0.9987833163839516
PC301,2.6895825552057206e-5,0.9988102122095036
PC302,2.635097440035555e-5,0.998836563183904
PC303,2.610209935664331e-5,0.9988626652832606
PC304,2.555609464080205e-5,0.9988882213779015
PC305,2.4831495670828618e-5,0.9989130528735722
