subject_set,pc,reaction_id,loading,abs_loading,explained_variance_fraction,direction,rank_within_direction
optimal414,PC2,GALT1,0.05122172038201008,0.05122172038201008,0.13185962045817162,positive,17
optimal414,PC2,GLCTR1,0.05122172038201008,0.05122172038201008,0.13185962045817162,positive,18
optimal414,PC2,GLCTR2,0.05122172038201008,0.05122172038201008,0.13185962045817162,positive,19
optimal414,PC2,GLCTR3,0.05122172038201008,0.05122172038201008,0.13185962045817162,positive,20
optimal414,PC3,EX_asp_L(e),-0.06290038868361911,0.06290038868361911,0.06478178373843446,negative,1
optimal414,PC3,ASP4DC,-0.06063748895102464,0.06063748895102464,0.06478178373843446,negative,2
optimal414,PC3,EX_glyc(e),-0.05917684144128006,0.05917684144128006,0.06478178373843446,negative,3
optimal414,PC3,NCAMtex,-0.058650777216241935,0.058650777216241935,0.06478178373843446,negative,4
optimal414,PC3,EX_nmn(e),-0.058607084838059494,0.058607084838059494,0.06478178373843446,negative,5
optimal414,PC3,CYTK1,-0.05855712171926641,0.05855712171926641,0.06478178373843446,negative,6
optimal414,PC3,ALAR,-0.05829882976267309,0.05829882976267309,0.06478178373843446,negative,7
optimal414,PC3,EX_cit(e),-0.05799398967851408,0.05799398967851408,0.06478178373843446,negative,8
optimal414,PC3,PPAtex,-0.05745218092484257,0.05745218092484257,0.06478178373843446,negative,9
optimal414,PC3,EX_no3(e),-0.05726142086133201,0.05726142086133201,0.06478178373843446,negative,10
optimal414,PC3,sink_s,-0.057055797273430665,0.057055797273430665,0.06478178373843446,negative,11
optimal414,PC3,MEOHt2pp,-0.05705579727343052,0.05705579727343052,0.06478178373843446,negative,12
optimal414,PC3,MEOHtex,-0.05705579727343052,0.05705579727343052,0.06478178373843446,negative,13
optimal414,PC3,EX_h2o(e),-0.05702907260444684,0.05702907260444684,0.06478178373843446,negative,14
optimal414,PC3,EX_ala_D(e),-0.056879495900509836,0.056879495900509836,0.06478178373843446,negative,15
optimal414,PC3,EX_ptrc(e),-0.0540234964145149,0.0540234964145149,0.06478178373843446,negative,16
optimal414,PC3,EX_cellb(e),-0.05397855589141216,0.05397855589141216,0.06478178373843446,negative,17
optimal414,PC3,RIB_Dtex,-0.05354532435525502,0.05354532435525502,0.06478178373843446,negative,18
optimal414,PC3,CYTDt2rpp,-0.05307601796663456,0.05307601796663456,0.06478178373843446,negative,19
