subject_set,pc,explained_variance_fraction,cumulative_explained_variance
all516,PC320,1.855841656783124e-5,0.999232890099103
all516,PC321,1.7942430623250442e-5,0.9992508325297262
all516,PC322,1.7629353273106823e-5,0.9992684618829993
all516,PC323,1.736312964274319e-5,0.9992858250126421
all516,PC324,1.6894861969296247e-5,0.9993027198746114
all516,PC325,1.6568563086330873e-5,0.9993192884376977
all516,PC326,1.6264345648472008e-5,0.9993355527833462
all516,PC327,1.6085770552006404e-5,0.9993516385538982
all516,PC328,1.5959469484314378e-5,0.9993675980233825
all516,PC329,1.5762317129540184e-5,0.999383360340512
all516,PC330,1.496863311518206e-5,0.9993983289736272
all516,PC331,1.4919610856606946e-5,0.9994132485844839
all516,PC332,1.4701625315563737e-5,0.9994279502097995
all516,PC333,1.427193692826808e-5,0.9994422221467277
all516,PC334,1.4062961924813639e-5,0.9994562851086526
all516,PC335,1.3728991501286442e-5,0.9994700141001539
all516,PC336,1.3534287805044846e-5,0.9994835483879589
all516,PC337,1.2979078671994907e-5,0.999496527466631
all516,PC338,1.2778781521847863e-5,0.9995093062481528
all516,PC339,1.2628631829865745e-5,0.9995219348799826
all516,PC340,1.2298488807614092e-5,0.9995342333687902
all516,PC341,1.1992096381533246e-5,0.9995462254651718
all516,PC342,1.1724144545275997e-5,0.9995579496097171
all516,PC343,1.145907728703438e-5,0.9995694086870042
all516,PC344,1.1212261426704857e-5,0.9995806209484309
all516,PC345,1.1033108032784745e-5,0.9995916540564637
all516,PC346,1.0751841186426695e-5,0.99960240589765
all516,PC347,1.0682952004573403e-5,0.9996130888496546
all516,PC348,1.0351866151905801e-5,0.9996234407158066
all516,PC349,1.0078831909169487e-5,0.9996335195477157
all516,PC350,9.827611328016001e-6,0.9996433471590438
all516,PC351,9.52724911994795e-6,0.9996528744081637
all516,PC352,9.140638177085173e-6,0.9996620150463408
all516,PC353,9.09727166118968e-6,0.999671112318002
all516,PC354,8.859444076370587e-6,0.9996799717620783
all516,PC355,8.719638863772957e-6,0.9996886914009421
all516,PC356,8.417175394926635e-6,0.999697108576337
all516,PC357,8.187355974123774e-6,0.99970529593231106
all516,PC358,7.976061649700439e-6,0.9997132719939608
all516,PC359,7.842633819999676e-6,0.9997211146277808
all516,PC360,7.709168238298176e-6,0.9997288237960191
all516,PC361,7.612505689451563e-6,0.9997364363017086
all516,PC362,7.49566599796952e-6,0.9997439319677066
all516,PC363,7.1747667179442755e-6,0.9997511067344246
all516,PC364,7.1401447703756075e-6,0.9997582468791949
all516,PC365,6.90243741570032e-6,0.9997651493166106
all516,PC366,6.829836868687899e-6,0.9997719791534794
all516,PC367,6.563945214454294e-6,0.9997785430986939
all516,PC368,6.406821236867127e-6,0.9997849499199307
all516,PC369,6.245603636204212e-6,0.9997911955235669
all516,PC370,6.172980353424252e-6,0.9997973685039203
all516,PC371,5.958933164110975e-6,0.9998033274370844
all516,PC372,5.78999698957471e-6,0.999809117434074
all516,PC373,5.725686753122341e-6,0.9998148431208271
all516,PC374,5.528604200533566e-6,0.9998203717250277
all516,PC375,5.346025965228073e-6,0.9998257177509929
all516,PC376,5.117740260270828e-6,0.9998308354912532
all516,PC377,5.055812641697852e-6,0.9998358913038948
all516,PC378,4.888635748415945e-6,0.9998407799396433
all516,PC379,4.841806439565167e-6,0.9998456217460828
all516,PC380,4.79909160183985e-6,0.9998504208376847
