subject_set,reaction_id,reaction_token_group,taxon_id,species_name,paper_taxon,n_subjects_in_set,n_subjects_with_flux,fraction_subjects_with_flux,median_signed_flux,median_abs_flux,total_abs_flux,fraction_of_total_abs_flux,selected_from_pcs,selected_directions,max_abs_loading
all516,AM6tepp,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,70,0.13565891472868216,-0.17164876993214728,0.17164876993214728,29.910538065021857,0.00305465809550003,PC3,positive,0.058181445435259056
all516,AM6tepp,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,52,0.1007751937984496,0.07785305848198106,0.07785305848198106,17.297208108017745,0.00176650305192918,PC3,positive,0.058181445435259056
all516,AM6tepp,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,2,0.00387596899224806,0.00480987841307078,0.00480987841307078,0.00961975682614156,9.824319442811594e-7,PC3,positive,0.058181445435259056
all516,AMN_B_GLYte,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,71,0.1375968992248062,0.1606644258078419,0.1606644258078419,24.69211295015215,1,PC1,positive,0.03537429570567158
all516,ARBTtex,NA,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,516,71,0.1375968992248062,-0.0024983358729335,0.056840558069406,14384.073095992688,0.9989693407194862,PC2,positive,0.059411381103051664
all516,ARBTtex,NA,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,516,55,0.1065891472868217,0.1170362532602426,0.1170362532602426,14.786605131016277,0.00102692506361956,PC2,positive,0.059411381103051664
all516,ARBTtex,NA,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,516,1,0.00193798449612403,0.0537686659389732,0.0537686659389732,0.0537686659389732,3.734216894336175e-6,PC2,positive,0.059411381103051664
all516,BILR_M16_GLCAASEepp,NA,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,516,54,0.10465116279069768,-0.2124537814415608,0.2487611769047254,61080.23079591823,0.9996252545438514,PC2,positive,0.0575833531185615
all516,BILR_M16_GLCAASEepp,NA,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,516,59,0.11434108527131782,-0.0819458144320395,0.0819458144320395,22.876412244984618,3.7439019328281e-4,PC2,positive,0.0575833531185615
all516,BILR_M16_GLCAASEepp,NA,Alistipes_shahii_WAL_8301,Alistipes shahii,Alistipes shahii,516,2,0.00387596899224806,0.01085383634117615,0.01085383634117615,0.0217076726823523,3.552628657077886e-7,PC2,positive,0.0575833531185615
all516,BILR_M16t,NA,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,516,71,0.1375968992248062,0.1477576592035958,0.1477576592035958,24.29161203839059,1,PC1,positive,0.037489820053784234
all516,BTDt1_RRpp,NA,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,516,45,0.0872093023255814,0.1693999811326629,0.1693999811326629,113537.7194540614,1,PC3,negative,0.05897665037102608
all516,BUP2,NA,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,516,46,0.08914728682170543,0.1293938492318094,0.1293938492318094,545974.6234763818,1,PC2,positive,0.06059678554510047
