subject_set,reaction_id,reaction_token_group,taxon_id,species_name,paper_taxon,n_subjects_in_set,n_subjects_with_flux,fraction_subjects_with_flux,median_signed_flux,median_abs_flux,total_abs_flux,fraction_of_total_abs_flux
optimal414,BUTt2pp,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,5,0.01207729468599033,7.715397575165008,7.715397575165008,176.90876041238403,1
optimal414,BUTt2r,butyrate,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,414,62,0.1497584541062802,-2.0706912454615747,2.0706912454615747,240.55749315042428,1
optimal414,BUTtex,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,5,0.01207729468599033,7.715397575165008,7.715397575165008,176.90876041238403,1
optimal414,EX_2obut(e),butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,193,0.466183574879227,-5.233284659303708,5.233284659303708,2135.6365827577324,1
optimal414,EX_4abut(e),butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,87,0.21014492753623187,-0.012890024954236,0.2429511825996062,220.8166860021358,0.85501681668826
optimal414,EX_4abut(e),butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,29,0.07004830917874397,0.3300578440197023,0.3300578440197023,20.86974639241687,0.08080903870354698
optimal414,EX_4abut(e),butyrate,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,414,18,0.04347826086956521,0.21039228438625857,0.21039228438625857,12.712537337839215,0.04922378559075378
optimal414,EX_4abut(e),butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,13,0.03140096618357488,0.3223189298071817,0.3223189298071817,3.861080470393492,0.01495035901743911
optimal414,EX_but(e),butyrate,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,414,62,0.1497584541062802,2.0706912454615747,2.0706912454615747,240.55749315042428,0.5762321890629948
optimal414,EX_but(e),butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,5,0.01207729468599033,-7.715397575165008,7.715397575165008,176.90876041238403,0.4237678109370053
optimal414,EX_isobut(e),butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,20,0.04830917874396135,0.3478414685363945,0.3478414685363945,7.622112858209336,0.7694577796261751
optimal414,EX_isobut(e),butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,9,0.0217391304347826,0.0842440686331181,0.0842440686331181,2.1561646350002586,0.2176663719652071
optimal414,EX_isobut(e),butyrate,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,414,1,0.00241545893719806,0.1275458801175025,0.1275458801175025,0.1275458801175025,0.01287584840861777
optimal414,GLUABUTt7pp,butyrate,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,84,0.2028985507246377,-0.0086089471431415,0.24282590302101936,154.72957789781572,0.9240780175289364
optimal414,GLUABUTt7pp,butyrate,Alistipes_onderdonkii_DSM_19147,Alistipes onderdonkii,Alistipes onderdonkii,414,18,0.04347826086956521,0.21039228438625857,0.21039228438625857,12.712537337839215,0.07592198247106366
optimal414,ISOBUTt2rpp,butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,20,0.04830917874396135,-0.3478414685363945,0.3478414685363945,7.622112858209336,0.7694577796261751
optimal414,ISOBUTt2rpp,butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,9,0.0217391304347826,-0.0842440686331181,0.0842440686331181,2.1561646350002586,0.2176663719652071
optimal414,ISOBUTt2rpp,butyrate,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,414,1,0.00241545893719806,-0.1275458801175025,0.1275458801175025,0.1275458801175025,0.01287584840861777
optimal414,ISOBUTtex,butyrate,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,20,0.04830917874396135,-0.3478414685363945,0.3478414685363945,7.622112858209336,0.7694577796261751
optimal414,ISOBUTtex,butyrate,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,9,0.0217391304347826,-0.0842440686331181,0.0842440686331181,2.1561646350002586,0.2176663719652071
optimal414,ISOBUTtex,butyrate,Bacteroides_xylanisolvens_XB1A,Bacteroides xylanisolvens,Bacteroides xylanisolvens,414,1,0.00241545893719806,-0.1275458801175025,0.1275458801175025,0.1275458801175025,0.01287584840861777
optimal414,EX_lys_L(e),lysine,Faecalibacterium_prausnitzii_M21_2,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,414,325,0.785024154589372,-0.156309598222459,0.156309598222459,49.79999443417203,0.2940386037851586
optimal414,EX_lys_L(e),lysine,Escherichia_coli_UTI89_UPEC,Escherichia coli,Escherichia coli,414,347,0.8381642512077294,-0.0226467033072125,0.0837978702356401,42.60270013485308,0.2515429691802185
optimal414,EX_lys_L(e),lysine,Bacteroides_dorei_DSM_17855,Bacteroides dorei,Bacteroides dorei,414,265,0.6400966183574879,-0.0436328025763904,0.0436328025763904,19.833577486263337,0.11710518240789008
optimal414,EX_lys_L(e),lysine,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella pneumoniae,Klebsiella pneumoniae,414,184,0.4444444444444444,-0.01120527112389855,0.0206350330419542,19.443067908795157,0.11479946144891978
optimal414,EX_lys_L(e),lysine,Ruminococcus_torques_ATCC_27756,Ruminococcus torques,Ruminococcus torques,414,351,0.8478260869565217,-0.0191906024120412,0.0191906024120412,16.4085089365306,0.0968822409060972
optimal414,EX_lys_L(e),lysine,Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae,Parabacteroides merdae,414,224,0.5410628019323671,-0.02934638402856244,0.02934638402856244,11.531418950301932,0.06808599812778016
