cohort,age_group,species_name,n_subjects,n_positive,pct_positive,median_abundance,mean_abundance,p25_abundance,p75_abundance,max_abundance
T2D,41_60,Klebsiella pneumoniae,89,47,52.81,0.11819555460575,1.0227022356517061,0.0,0.559835347213609,21.0466022366881
T2D,61_70,Klebsiella pneumoniae,9,3,33.33,0.0,0.076839307610589,0.0,0.172237729332088,0.263047683260109
CRE,21_40,Klebsiella pneumoniae,18,10,55.56,0.198363528815779,0.36469875902262333,0.0,0.4795177312812055,2.06711450873441
CRE,41_60,Klebsiella pneumoniae,23,8,34.78,0.0,0.27894575121071385,0.0,0.2256279045646585,2.24189156032349
CRE,61_70,Klebsiella pneumoniae,28,11,39.29,0.0,1.2384548769002302,0.0,0.25914024709030903,23.890978948374
CRE,71_80,Klebsiella pneumoniae,11,5,45.45,0.0,0.6125590639089117,0.0,0.503206860502497,4.4859981761532
SPMP,41_60,Klebsiella pneumoniae,28,14,50.0,0.0557223702009455,0.2353799382998404,0.0,0.3635434863390748,1.88667234626197
SPMP,61_70,Klebsiella pneumoniae,20,7,35.0,0.0,0.2368937007159712,0.0,0.20400378666803226,1.62826766586938
SPMP,71_80,Klebsiella pneumoniae,2,2,100.0,1.6650287327727007,1.6650287327727007,1.0286107968591107,2.30144666868629,2.93786460459988
SG90,71_80,Klebsiella pneumoniae,20,11,55.0,0.2008615194826095,2.3859537703844858,0.0,3.453796508412787,13.1651447691199
SG90,81_90,Klebsiella pneumoniae,169,103,60.95,0.17231064142578,1.113976160132277,0.0,1.21585490004241,11.7807855825608
SG90,91_100,Klebsiella pneumoniae,26,12,46.15,0.0,1.9533379274072484,0.0,1.8498893319450924,14.9631255768925
all_cohort,21_40,Parabacteroides merdae,91,51,56.04,0.333979971528481,0.9691880493796794,0.0,1.455984712212315,7.63337267846482
all_cohort,41_60,Parabacteroides merdae,140,76,54.29,0.1929094748151095,0.6412919020066198,0.0,0.8981057853494085,5.31241841155472
all_cohort,61_70,Parabacteroides merdae,57,31,54.39,0.200210536899317,0.668158136781859,0.0,0.778348907208065,6.77836924716776
all_cohort,71_80,Parabacteroides merdae,33,16,48.48,0.0,0.7446011426856242,0.0,1.15446024986661,4.36081067622541
all_cohort,81_90,Parabacteroides merdae,169,115,68.05,0.68968469388354,1.5767850808443309,0.0,2.01175265721315,15.175975366205
all_cohort,91_100,Parabacteroides merdae,26,15,57.69,0.5053778563122384,1.8095804772155648,0.0,2.4976948141101976,10.7893564555273
T2D,21_40,Parabacteroides merdae,73,47,64.38,0.531655838828204,1.0707041051477493,0.0,1.48273993759342,7.63337267846482
T2D,41_60,Parabacteroides merdae,89,48,53.93,0.191243977130806,0.5979083668998322,0.0,0.893376349063857,5.31241841155472
T2D,61_70,Parabacteroides merdae,9,6,66.67,1.28108437859557,1.9955289045322433,0.0,3.4065436997489,6.77836924716776
CRE,21_40,Parabacteroides merdae,18,4,22.22,0.0,0.5574840454313961,0.0,0.0,3.29652734294641
CRE,41_60,Parabacteroides merdae,23,16,69.57,0.655848390389343,1.106677661124509,0.0,1.1646678875208152,4.90272070442512
CRE,61_70,Parabacteroides merdae,28,14,50.0,0.069294080483213,0.4985203694862288,0.0,0.8052177226072931,2.20742979018551
CRE,71_80,Parabacteroides merdae,11,5,45.45,0.0,0.6392628340707193,0.0,0.782244247167768,3.84263795414709
SPMP,41_60,Parabacteroides merdae,28,12,42.86,0.0,0.3969084078920714,0.0,0.641674463764629,2.35584169050196
SPMP,61_70,Parabacteroides merdae,20,11,55.0,0.1700050170025545,0.3083341655080684,0.0,0.3859535576380102,1.58132581840954
SPMP,71_80,Parabacteroides merdae,2,1,50.0,0.1021779977722425,0.1021779977722425,0.05108899888612125,0.15326699665836374,0.204355995544485
SG90,71_80,Parabacteroides merdae,20,10,50.0,0.269548226355851,0.86677952691516,0.0,1.2297319370399427,4.36081067622541
SG90,81_90,Parabacteroides merdae,169,115,68.05,0.68968469388354,1.5767850808443309,0.0,2.01175265721315,15.175975366205
SG90,91_100,Parabacteroides merdae,26,15,57.69,0.5053778563122384,1.8095804772155648,0.0,2.4976948141101976,10.7893564555273
all_cohort,21_40,Ruminococcus torques,91,88,96.7,0.882656541610264,1.2866046503892166,0.5579177689579196,1.77501918011082,7.04188889786023
all_cohort,41_60,Ruminococcus torques,140,130,92.86,0.8691279378083465,1.432057153396056,0.4030265851173912,1.9166755860615226,6.8741844468441204
all_cohort,61_70,Ruminococcus torques,57,55,96.49,0.765405482461402,1.2549596111957981,0.342262485130945,1.42032404698599,11.1001128811972
all_cohort,71_80,Ruminococcus torques,33,29,87.88,0.732768298962431,3.2604197942779116,0.223105473356975,2.9619126887249,16.5898837570521
all_cohort,81_90,Ruminococcus torques,169,115,68.05,0.307151004155264,0.7054478519367118,0.0,0.859934502476993,7.93250432635336
all_cohort,91_100,Ruminococcus torques,26,16,61.54,0.19462465526523798,1.4854703201104285,0.0,0.9307676337542565,25.0895064254522
T2D,21_40,Ruminococcus torques,73,71,97.26,0.826058006407208,1.2550067358325119,0.441431337635126,1.46089993935326,7.04188889786023
T2D,41_60,Ruminococcus torques,89,83,93.26,0.715398690830068,1.2879442369410115,0.394377057571534,1.55510607788206,6.8741844468441204
T2D,61_70,Ruminococcus torques,9,8,88.89,1.14714787202073,2.0117798246051946,0.424078264201629,1.42032404698599,11.1001128811972
CRE,21_40,Ruminococcus torques,18,17,94.44,1.099151939808545,1.4147517483136294,0.758735477773266,2.1182136594715626,3.2601586160503
CRE,41_60,Ruminococcus torques,23,22,95.65,1.79379211475206,2.1059997548556755,0.8691279378083465,2.767490349158495,6.45984709903581
CRE,61_70,Ruminococcus torques,28,27,96.43,0.591635052185969,1.2915610959215835,0.32702659666871553,1.9394801390531375,9.26018712070339
CRE,71_80,Ruminococcus torques,11,11,100.0,2.91209906679704,6.607631778922321,1.330059583211243,13.50591728484175,15.8974307976827
SPMP,41_60,Ruminococcus torques,28,25,89.29,0.654804801170783,1.336534643786331,0.3518415403132983,1.5605100750046224,6.82914967905992
SPMP,61_70,Ruminococcus torques,20,20,100.0,0.9530202102429726,0.86314843654547,0.4117706637341523,1.2311144977940724,1.80796085300541
SPMP,71_80,Ruminococcus torques,2,2,100.0,0.773582463761664,0.773582463761664,0.507267654108181,1.039897273415147,1.30621208306863
SG90,71_80,Ruminococcus torques,20,16,80.0,0.3464937545550515,1.6681369357751115,0.1737634893509415,0.9507886889773587,16.5898837570521
SG90,81_90,Ruminococcus torques,169,115,68.05,0.307151004155264,0.7054478519367118,0.0,0.859934502476993,7.93250432635336
SG90,91_100,Ruminococcus torques,26,16,61.54,0.19462465526523798,1.4854703201104285,0.0,0.9307676337542565,25.0895064254522
